id,check_time,instance_type,vcpus,sustained_clock_speed_ghz,memory_mib,gpus,on_demand_hibernation_support,burstable_performance_support,current_generation,interruption_rate
1,'03/26/2020 08:37',t2.medium,2,2.3,4096,0,TRUE,TRUE,TRUE,unlikely
2,'03/26/2020 08:37',t2.micro,1,2.5,1024,0,TRUE,TRUE,TRUE,unlikely
3,'03/26/2020 08:37',t2.small,1,2.5,2048,0,TRUE,TRUE,TRUE,unlikely
4,'03/26/2020 08:37',a1.metal,16,2.3,32768,0,FALSE,FALSE,TRUE,unlikely
5,'03/26/2020 08:37',c5d.metal,96,3.6,196608,0,FALSE,FALSE,TRUE,unlikely
6,'03/26/2020 08:37',c5d.metal,96,3.6,196608,0,FALSE,FALSE,TRUE,unlikely
7,'03/26/2020 08:37',c5n.metal,72,3.4,196608,0,FALSE,FALSE,TRUE,unlikely
8,'03/26/2020 08:37',c5n.metal,72,3.4,196608,0,FALSE,FALSE,TRUE,unlikely
9,'03/26/2020 08:37',c4.4xlarge,16,2.9,30720,0,TRUE,FALSE,TRUE,unlikely
10,'03/26/2020 08:37',c4.4xlarge,16,2.9,30720,0,TRUE,FALSE,TRUE,unlikely
11,'03/26/2020 08:37',c5.4xlarge,16,3.4,32768,0,TRUE,FALSE,TRUE,unlikely
12,'03/26/2020 08:37',m4.4xlarge,16,2.4,65536,0,TRUE,FALSE,TRUE,unlikely
13,'03/26/2020 08:37',m5.4xlarge,16,3.1,65536,0,TRUE,FALSE,TRUE,unlikely
14,'03/26/2020 08:37',m5.4xlarge,16,3.1,65536,0,TRUE,FALSE,TRUE,unlikely
15,'03/26/2020 08:37',m5dn.4xlarge,16,3.1,65536,0,FALSE,FALSE,TRUE,unlikely
16,'03/26/2020 08:37',m5dn.4xlarge,16,3.1,65536,0,FALSE,FALSE,TRUE,unlikely
17,'03/26/2020 08:37',r4.4xlarge,16,2.3,124928,0,TRUE,FALSE,TRUE,unlikely
18,'03/26/2020 08:37',r4.4xlarge,16,2.3,124928,0,TRUE,FALSE,TRUE,unlikely
19,'03/26/2020 08:37',r5.4xlarge,16,3.1,131072,0,TRUE,FALSE,TRUE,unlikely
20,'03/26/2020 08:37',r5dn.4xlarge,16,3.1,131072,0,FALSE,FALSE,TRUE,unlikely
21,'03/26/2020 08:37',r5dn.4xlarge,16,3.1,131072,0,FALSE,FALSE,TRUE,unlikely
22,'03/26/2020 08:37',r5n.4xlarge,16,3.1,131072,0,FALSE,FALSE,TRUE,unlikely
23,'03/26/2020 08:37',r5n.4xlarge,16,3.1,131072,0,FALSE,FALSE,TRUE,unlikely
24,'03/26/2020 08:37',m5.8xlarge,32,3.1,131072,0,TRUE,FALSE,TRUE,unlikely
25,'03/26/2020 08:37',m5a.8xlarge,32,2.5,131072,0,FALSE,FALSE,TRUE,unlikely
26,'03/26/2020 08:37',m5ad.8xlarge,32,2.5,131072,0,FALSE,FALSE,TRUE,unlikely
27,'03/26/2020 08:37',m5ad.8xlarge,32,2.5,131072,0,FALSE,FALSE,TRUE,unlikely
28,'03/26/2020 08:37',m5dn.8xlarge,32,3.1,131072,0,FALSE,FALSE,TRUE,unlikely
29,'03/26/2020 08:37',m5dn.8xlarge,32,3.1,131072,0,FALSE,FALSE,TRUE,unlikely
30,'03/26/2020 08:37',m5n.8xlarge,32,3.1,131072,0,FALSE,FALSE,TRUE,unlikely
31,'03/26/2020 08:37',m5n.8xlarge,32,3.1,131072,0,FALSE,FALSE,TRUE,unlikely
32,'03/26/2020 08:37',r4.8xlarge,32,2.3,249856,0,FALSE,FALSE,TRUE,unlikely
33,'03/26/2020 08:37',r4.8xlarge,32,2.3,249856,0,FALSE,FALSE,TRUE,unlikely
34,'03/26/2020 08:37',r5ad.8xlarge,32,2.5,262144,0,FALSE,FALSE,TRUE,unlikely
35,'03/26/2020 08:37',r5ad.8xlarge,32,2.5,262144,0,FALSE,FALSE,TRUE,unlikely
36,'03/26/2020 08:37',r5n.8xlarge,32,3.1,262144,0,FALSE,FALSE,TRUE,unlikely
37,'03/26/2020 08:37',r5n.8xlarge,32,3.1,262144,0,FALSE,FALSE,TRUE,unlikely
38,'03/26/2020 08:37',c4.xlarge,4,2.9,7680,0,TRUE,FALSE,TRUE,unlikely
39,'03/26/2020 08:37',c4.xlarge,4,2.9,7680,0,TRUE,FALSE,TRUE,unlikely
40,'03/26/2020 08:37',c5.xlarge,4,3.4,8192,0,TRUE,FALSE,TRUE,unlikely
41,'03/26/2020 08:37',c5.xlarge,4,3.4,8192,0,TRUE,FALSE,TRUE,unlikely
42,'03/26/2020 08:37',c5d.xlarge,4,3.4,8192,0,FALSE,FALSE,TRUE,unlikely
43,'03/26/2020 08:37',c5n.xlarge,4,3.4,10752,0,FALSE,FALSE,TRUE,unlikely
44,'03/26/2020 08:37',m4.xlarge,4,2.4,16384,0,TRUE,FALSE,TRUE,unlikely
45,'03/26/2020 08:37',r4.xlarge,4,2.3,31232,0,TRUE,FALSE,TRUE,unlikely
46,'03/26/2020 08:37',r5.xlarge,4,3.1,32768,0,TRUE,FALSE,TRUE,unlikely
47,'03/26/2020 08:37',r5.xlarge,4,3.1,32768,0,TRUE,FALSE,TRUE,unlikely
48,'03/26/2020 08:37',r5dn.xlarge,4,3.1,32768,0,FALSE,FALSE,TRUE,unlikely
49,'03/26/2020 08:37',t3.xlarge,4,2.5,16384,0,FALSE,TRUE,TRUE,unlikely
50,'03/26/2020 08:37',t3.xlarge,4,2.5,16384,0,FALSE,TRUE,TRUE,unlikely
51,'03/26/2020 08:37',t3a.xlarge,4,2.2,16384,0,FALSE,TRUE,TRUE,unlikely
