id,check_time,instance_type,vcpus,sustained_clock_speed_ghz,memory_mib,network_performance,gpus,on_demand_hibernation_support,burstable_performance_support,current_generation,interruption_rate
1,02/24/2020 08:37,t2.medium,2,2.3,4096,Low to Moderate,0,TRUE,TRUE,TRUE,unlikely
2,02/24/2020 08:37,t2.micro,1,2.5,1024,Low to Moderate,0,TRUE,TRUE,TRUE,unlikely
3,02/24/2020 08:37,t2.small,1,2.5,2048,Low to Moderate,0,TRUE,TRUE,TRUE,unlikely
4,02/24/2020 08:37,t2.xlarge,4,2.3,16384,Moderate,0,TRUE,TRUE,TRUE,unlikely
5,02/24/2020 08:37,a1.metal,16,2.3,32768,Up to 10 Gigabit,0,FALSE,FALSE,TRUE,unlikely
6,02/24/2020 08:37,c5d.metal,96,3.6,196608,25 Gigabit,0,FALSE,FALSE,TRUE,unlikely
7,02/24/2020 08:37,c5d.metal,96,3.6,196608,25 Gigabit,0,FALSE,FALSE,TRUE,unlikely
8,02/24/2020 08:37,c5n.metal,72,3.4,196608,100 Gigabit,0,FALSE,FALSE,TRUE,unlikely
9,02/24/2020 08:37,c5n.metal,72,3.4,196608,100 Gigabit,0,FALSE,FALSE,TRUE,unlikely
10,02/24/2020 08:37,c4.4xlarge,16,2.9,30720,High,0,TRUE,FALSE,TRUE,unlikely
11,02/24/2020 08:37,c4.4xlarge,16,2.9,30720,High,0,TRUE,FALSE,TRUE,unlikely
12,02/24/2020 08:37,c5.4xlarge,16,3.4,32768,Up to 10 Gigabit,0,TRUE,FALSE,TRUE,unlikely
13,02/24/2020 08:37,c5.4xlarge,16,3.4,32768,Up to 10 Gigabit,0,TRUE,FALSE,TRUE,unlikely
14,02/24/2020 08:37,c5d.4xlarge,16,3.4,32768,Up to 10 Gigabit,0,FALSE,FALSE,TRUE,unlikely
15,02/24/2020 08:37,m4.4xlarge,16,2.4,65536,High,0,TRUE,FALSE,TRUE,unlikely
16,02/24/2020 08:37,m5.4xlarge,16,3.1,65536,Up to 10 Gigabit,0,TRUE,FALSE,TRUE,unlikely
17,02/24/2020 08:37,m5.4xlarge,16,3.1,65536,Up to 10 Gigabit,0,TRUE,FALSE,TRUE,unlikely
18,02/24/2020 08:37,r4.4xlarge,16,2.3,124928,Up to 10 Gigabit,0,TRUE,FALSE,TRUE,unlikely
19,02/24/2020 08:37,r5.4xlarge,16,3.1,131072,Up to 10 Gigabit,0,TRUE,FALSE,TRUE,unlikely
20,02/24/2020 08:37,r5dn.4xlarge,16,3.1,131072,Up to 25 Gigabit,0,FALSE,FALSE,TRUE,unlikely
21,02/24/2020 08:37,r5dn.4xlarge,16,3.1,131072,Up to 25 Gigabit,0,FALSE,FALSE,TRUE,unlikely
22,02/24/2020 08:37,r5n.4xlarge,16,3.1,131072,Up to 25 Gigabit,0,FALSE,FALSE,TRUE,unlikely
23,02/24/2020 08:37,r5n.4xlarge,16,3.1,131072,Up to 25 Gigabit,0,FALSE,FALSE,TRUE,unlikely
24,02/24/2020 08:37,m5ad.8xlarge,32,2.5,131072,Up to 10 Gigabit,0,FALSE,FALSE,TRUE,unlikely
25,02/24/2020 08:37,m5ad.8xlarge,32,2.5,131072,Up to 10 Gigabit,0,FALSE,FALSE,TRUE,unlikely
26,02/24/2020 08:37,m5dn.8xlarge,32,3.1,131072,25 Gigabit,0,FALSE,FALSE,TRUE,unlikely
27,02/24/2020 08:37,m5dn.8xlarge,32,3.1,131072,25 Gigabit,0,FALSE,FALSE,TRUE,unlikely
28,02/24/2020 08:37,m5n.8xlarge,32,3.1,131072,25 Gigabit,0,FALSE,FALSE,TRUE,unlikely
29,02/24/2020 08:37,m5n.8xlarge,32,3.1,131072,25 Gigabit,0,FALSE,FALSE,TRUE,unlikely
30,02/24/2020 08:37,r4.8xlarge,32,2.3,249856,10 Gigabit,0,FALSE,FALSE,TRUE,unlikely
31,02/24/2020 08:37,r4.8xlarge,32,2.3,249856,10 Gigabit,0,FALSE,FALSE,TRUE,unlikely
32,02/24/2020 08:37,r5ad.8xlarge,32,2.5,262144,Up to 10 Gigabit,0,FALSE,FALSE,TRUE,unlikely
33,02/24/2020 08:37,r5ad.8xlarge,32,2.5,262144,Up to 10 Gigabit,0,FALSE,FALSE,TRUE,unlikely
34,02/24/2020 08:37,r5n.8xlarge,32,3.1,262144,25 Gigabit,0,FALSE,FALSE,TRUE,unlikely
35,02/24/2020 08:37,r5n.8xlarge,32,3.1,262144,25 Gigabit,0,FALSE,FALSE,TRUE,unlikely
36,02/24/2020 08:37,c4.xlarge,4,2.9,7680,High,0,TRUE,FALSE,TRUE,unlikely
37,02/24/2020 08:37,c5.xlarge,4,3.4,8192,Up to 10 Gigabit,0,TRUE,FALSE,TRUE,unlikely
38,02/24/2020 08:37,c5d.xlarge,4,3.4,8192,Up to 10 Gigabit,0,FALSE,FALSE,TRUE,unlikely
39,02/24/2020 08:37,m5.xlarge,4,3.1,16384,Up to 10 Gigabit,0,TRUE,FALSE,TRUE,unlikely
40,02/24/2020 08:37,m5n.xlarge,4,3.1,16384,Up to 25 Gigabit,0,FALSE,FALSE,TRUE,unlikely
41,02/24/2020 08:37,r4.xlarge,4,2.3,31232,Up to 10 Gigabit,0,TRUE,FALSE,TRUE,unlikely
42,02/24/2020 08:37,r4.xlarge,4,2.3,31232,Up to 10 Gigabit,0,TRUE,FALSE,TRUE,unlikely
43,02/24/2020 08:37,r5.xlarge,4,3.1,32768,Up to 10 Gigabit,0,TRUE,FALSE,TRUE,unlikely
44,02/24/2020 08:37,r5.xlarge,4,3.1,32768,Up to 10 Gigabit,0,TRUE,FALSE,TRUE,unlikely
45,02/24/2020 08:37,r5a.xlarge,4,2.5,32768,Up to 10 Gigabit,0,FALSE,FALSE,TRUE,unlikely
46,02/24/2020 08:37,t3.xlarge,4,2.5,16384,Up to 5 Gigabit,0,FALSE,TRUE,TRUE,unlikely
47,02/24/2020 08:37,t3.xlarge,4,2.5,16384,Up to 5 Gigabit,0,FALSE,TRUE,TRUE,unlikely
48,02/24/2020 08:37,c4.large,2,2.9,3840,Moderate,0,TRUE,FALSE,TRUE,unlikely
49,02/24/2020 08:37,c4.large,2,2.9,3840,Moderate,0,TRUE,FALSE,TRUE,unlikely
50,02/24/2020 08:37,c5d.large,2,3.4,4096,Up to 10 Gigabit,0,FALSE,FALSE,TRUE,unlikely
51,02/24/2020 08:37,c5n.large,2,3.4,5376,Up to 25 Gigabit,0,FALSE,FALSE,TRUE,unlikely
52,02/24/2020 08:37,c5n.large,2,3.4,5376,Up to 25 Gigabit,0,FALSE,FALSE,TRUE,unlikely
53,02/24/2020 08:37,m4.large,2,2.4,8192,Moderate,0,TRUE,FALSE,TRUE,unlikely
54,02/24/2020 08:37,m4.large,2,2.4,8192,Moderate,0,TRUE,FALSE,TRUE,unlikely
55,02/24/2020 08:37,m5.large,2,3.1,8192,Up to 10 Gigabit,0,TRUE,FALSE,TRUE,unlikely
56,02/24/2020 08:37,m5a.large,2,2.5,8192,Up to 10 Gigabit,0,FALSE,FALSE,TRUE,unlikely
57,02/24/2020 08:37,r4.large,2,2.3,15616,Up to 10 Gigabit,0,TRUE,FALSE,TRUE,unlikely
58,02/24/2020 08:37,r4.large,2,2.3,15616,Up to 10 Gigabit,0,TRUE,FALSE,TRUE,unlikely
59,02/24/2020 08:37,r5.large,2,3.1,16384,Up to 10 Gigabit,0,TRUE,FALSE,TRUE,unlikely
60,02/24/2020 08:37,r5dn.large,2,3.1,16384,Up to 25 Gigabit,0,FALSE,FALSE,TRUE,unlikely
61,02/24/2020 08:37,t3.large,2,2.5,8192,Up to 5 Gigabit,0,FALSE,TRUE,TRUE,unlikely
62,02/24/2020 08:37,t3.medium,2,2.5,4096,Up to 5 Gigabit,0,FALSE,TRUE,TRUE,unlikely
63,02/24/2020 08:37,t3.medium,2,2.5,4096,Up to 5 Gigabit,0,FALSE,TRUE,TRUE,unlikely
64,02/24/2020 08:37,t3.micro,2,2.5,1024,Up to 5 Gigabit,0,FALSE,TRUE,TRUE,unlikely
65,02/24/2020 08:37,t3.nano,2,2.5,512,Up to 5 Gigabit,0,FALSE,TRUE,TRUE,unlikely
66,02/24/2020 08:37,t3.small,2,2.5,2048,Up to 5 Gigabit,0,FALSE,TRUE,TRUE,unlikely
67,02/24/2020 08:37,t3a.large,2,2.2,8192,Up to 5 Gigabit,0,FALSE,TRUE,TRUE,unlikely
68,02/24/2020 08:37,t3a.medium,2,2.2,4096,Up to 5 Gigabit,0,FALSE,TRUE,TRUE,unlikely
69,02/24/2020 08:37,t3a.micro,2,2.2,1024,Up to 5 Gigabit,0,FALSE,TRUE,TRUE,unlikely
70,02/24/2020 08:37,t3a.micro,2,2.2,1024,Up to 5 Gigabit,0,FALSE,TRUE,TRUE,unlikely
71,02/24/2020 08:37,t3a.nano,2,2.2,512,Up to 5 Gigabit,0,FALSE,TRUE,TRUE,unlikely
72,02/24/2020 08:37,c4.2xlarge,8,2.9,15360,High,0,TRUE,FALSE,TRUE,unlikely
73,02/24/2020 08:37,c5.2xlarge,8,3.4,16384,Up to 10 Gigabit,0,TRUE,FALSE,TRUE,unlikely
74,02/24/2020 08:37,m4.2xlarge,8,2.4,32768,High,0,TRUE,FALSE,TRUE,unlikely
75,02/24/2020 08:37,m5.2xlarge,8,3.1,32768,Up to 10 Gigabit,0,TRUE,FALSE,TRUE,unlikely
76,02/24/2020 08:37,m5.2xlarge,8,3.1,32768,Up to 10 Gigabit,0,TRUE,FALSE,TRUE,unlikely
77,02/24/2020 08:37,r4.2xlarge,8,2.3,62464,Up to 10 Gigabit,0,TRUE,FALSE,TRUE,unlikely
78,02/24/2020 08:37,r5.2xlarge,8,3.1,65536,Up to 10 Gigabit,0,TRUE,FALSE,TRUE,unlikely
79,02/24/2020 08:37,r5a.2xlarge,8,2.5,65536,Up to 10 Gigabit,0,FALSE,FALSE,TRUE,unlikely
